data	mut	pop	gene	ind	ploidy	rep	method	rf
M201	5.00E-08	1.00E+05	1000	1	1	48	wASTRAL	6
M201	5.00E-08	1.00E+05	1000	1	1	49	wASTRAL	3
M201	5.00E-08	1.00E+05	1000	1	1	50	wASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	1	wASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	2	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	3	wASTRAL	10
M201	5.00E-08	1.00E+05	500	1	1	4	wASTRAL	8
M201	5.00E-08	1.00E+05	500	1	1	5	wASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	6	wASTRAL	8
M201	5.00E-08	1.00E+05	500	1	1	7	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	8	wASTRAL	6
M201	5.00E-08	1.00E+05	500	1	1	9	wASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	10	wASTRAL	8
M201	5.00E-08	1.00E+05	500	1	1	11	wASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	12	wASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	13	wASTRAL	6
M201	5.00E-08	1.00E+05	500	1	1	14	wASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	15	wASTRAL	8
M201	5.00E-08	1.00E+05	500	1	1	16	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	17	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	18	wASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	19	wASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	20	wASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	21	wASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	22	wASTRAL	2
M201	5.00E-08	1.00E+05	500	1	1	23	wASTRAL	10
M201	5.00E-08	1.00E+05	500	1	1	24	wASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	25	wASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	26	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	27	wASTRAL	12
M201	5.00E-08	1.00E+05	500	1	1	28	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	29	wASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	30	wASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	31	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	32	wASTRAL	2
M201	5.00E-08	1.00E+05	500	1	1	33	wASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	34	wASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	35	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	36	wASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	37	wASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	38	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	39	wASTRAL	6
M201	5.00E-08	1.00E+05	500	1	1	40	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	41	wASTRAL	6
M201	5.00E-08	1.00E+05	500	1	1	42	wASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	43	wASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	44	wASTRAL	6
M201	5.00E-08	1.00E+05	500	1	1	45	wASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	46	wASTRAL	6
M201	5.00E-08	1.00E+05	500	1	1	47	wASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	48	wASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	49	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	50	wASTRAL	8
M201	5.00E-08	1.00E+05	250	1	1	1	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	2	wASTRAL	3
M201	5.00E-08	1.00E+05	250	1	1	3	wASTRAL	10
M201	5.00E-08	1.00E+05	250	1	1	4	wASTRAL	11
M201	5.00E-08	1.00E+05	250	1	1	5	wASTRAL	11
M201	5.00E-08	1.00E+05	250	1	1	6	wASTRAL	12
M201	5.00E-08	1.00E+05	250	1	1	7	wASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	8	wASTRAL	10
M201	5.00E-08	1.00E+05	250	1	1	9	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	10	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	11	wASTRAL	11
M201	5.00E-08	1.00E+05	250	1	1	12	wASTRAL	8
M201	5.00E-08	1.00E+05	250	1	1	13	wASTRAL	8
M201	5.00E-08	1.00E+05	250	1	1	14	wASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	15	wASTRAL	12
M201	5.00E-08	1.00E+05	250	1	1	16	wASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	17	wASTRAL	4
M201	5.00E-08	1.00E+05	250	1	1	18	wASTRAL	9
M201	5.00E-08	1.00E+05	250	1	1	19	wASTRAL	8
M201	5.00E-08	1.00E+05	250	1	1	20	wASTRAL	8
M201	5.00E-08	1.00E+05	250	1	1	21	wASTRAL	4
M201	5.00E-08	1.00E+05	250	1	1	22	wASTRAL	2
M201	5.00E-08	1.00E+05	250	1	1	23	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	24	wASTRAL	10
M201	5.00E-08	1.00E+05	250	1	1	25	wASTRAL	8
M201	5.00E-08	1.00E+05	250	1	1	26	wASTRAL	5
M201	5.00E-08	1.00E+05	250	1	1	27	wASTRAL	14
M201	5.00E-08	1.00E+05	250	1	1	28	wASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	29	wASTRAL	11
M201	5.00E-08	1.00E+05	250	1	1	30	wASTRAL	4
M201	5.00E-08	1.00E+05	250	1	1	31	wASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	32	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	33	wASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	34	wASTRAL	9
M201	5.00E-08	1.00E+05	250	1	1	35	wASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	36	wASTRAL	5
M201	5.00E-08	1.00E+05	250	1	1	37	wASTRAL	11
M201	5.00E-08	1.00E+05	250	1	1	38	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	39	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	40	wASTRAL	4
M201	5.00E-08	1.00E+05	250	1	1	41	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	42	wASTRAL	5
M201	5.00E-08	1.00E+05	250	1	1	43	wASTRAL	3
M201	5.00E-08	1.00E+05	250	1	1	44	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	45	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	46	wASTRAL	10
M201	5.00E-08	1.00E+05	250	1	1	47	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	48	wASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	49	wASTRAL	8
M201	5.00E-08	1.00E+05	250	1	1	50	wASTRAL	11
M201	5.00E-08	1.00E+05	1000	1	1	1	ASTRAL	5
M201	5.00E-08	1.00E+05	1000	1	1	2	ASTRAL	3
M201	5.00E-08	1.00E+05	1000	1	1	3	ASTRAL	6
M201	5.00E-08	1.00E+05	1000	1	1	4	ASTRAL	4
M201	5.00E-08	1.00E+05	1000	1	1	5	ASTRAL	4
M201	5.00E-08	1.00E+05	1000	1	1	6	ASTRAL	4
M201	5.00E-08	1.00E+05	1000	1	1	7	ASTRAL	4
M201	5.00E-08	1.00E+05	1000	1	1	8	ASTRAL	7
M201	5.00E-08	1.00E+05	1000	1	1	9	ASTRAL	7
M201	5.00E-08	1.00E+05	1000	1	1	10	ASTRAL	7
M201	5.00E-08	1.00E+05	1000	1	1	11	ASTRAL	6
M201	5.00E-08	1.00E+05	1000	1	1	12	ASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	13	ASTRAL	10
M201	5.00E-08	1.00E+05	1000	1	1	14	ASTRAL	4
M201	5.00E-08	1.00E+05	1000	1	1	15	ASTRAL	4
M201	5.00E-08	1.00E+05	1000	1	1	16	ASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	17	ASTRAL	1
M201	5.00E-08	1.00E+05	1000	1	1	18	ASTRAL	9
M201	5.00E-08	1.00E+05	1000	1	1	19	ASTRAL	4
M201	5.00E-08	1.00E+05	1000	1	1	20	ASTRAL	8
M201	5.00E-08	1.00E+05	1000	1	1	21	ASTRAL	3
M201	5.00E-08	1.00E+05	1000	1	1	22	ASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	23	ASTRAL	7
M201	5.00E-08	1.00E+05	1000	1	1	24	ASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	25	ASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	26	ASTRAL	4
M201	5.00E-08	1.00E+05	1000	1	1	27	ASTRAL	11
M201	5.00E-08	1.00E+05	1000	1	1	28	ASTRAL	4
M201	5.00E-08	1.00E+05	1000	1	1	29	ASTRAL	6
M201	5.00E-08	1.00E+05	1000	1	1	30	ASTRAL	3
M201	5.00E-08	1.00E+05	1000	1	1	31	ASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	32	ASTRAL	1
M201	5.00E-08	1.00E+05	1000	1	1	33	ASTRAL	5
M201	5.00E-08	1.00E+05	1000	1	1	34	ASTRAL	5
M201	5.00E-08	1.00E+05	1000	1	1	35	ASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	36	ASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	37	ASTRAL	8
M201	5.00E-08	1.00E+05	1000	1	1	38	ASTRAL	3
M201	5.00E-08	1.00E+05	1000	1	1	39	ASTRAL	3
M201	5.00E-08	1.00E+05	1000	1	1	40	ASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	41	ASTRAL	6
M201	5.00E-08	1.00E+05	1000	1	1	42	ASTRAL	4
M201	5.00E-08	1.00E+05	1000	1	1	43	ASTRAL	7
M201	5.00E-08	1.00E+05	1000	1	1	44	ASTRAL	6
M201	5.00E-08	1.00E+05	1000	1	1	45	ASTRAL	5
M201	5.00E-08	1.00E+05	1000	1	1	46	ASTRAL	5
M201	5.00E-08	1.00E+05	1000	1	1	47	ASTRAL	6
M201	5.00E-08	1.00E+05	1000	1	1	48	ASTRAL	8
M201	5.00E-08	1.00E+05	1000	1	1	49	ASTRAL	3
M201	5.00E-08	1.00E+05	1000	1	1	50	ASTRAL	11
M201	5.00E-08	1.00E+05	500	1	1	1	ASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	2	ASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	3	ASTRAL	8
M201	5.00E-08	1.00E+05	500	1	1	4	ASTRAL	10
M201	5.00E-08	1.00E+05	500	1	1	5	ASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	6	ASTRAL	8
M201	5.00E-08	1.00E+05	500	1	1	7	ASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	8	ASTRAL	9
M201	5.00E-08	1.00E+05	500	1	1	9	ASTRAL	8
M201	5.00E-08	1.00E+05	500	1	1	10	ASTRAL	8
M201	5.00E-08	1.00E+05	500	1	1	11	ASTRAL	8
M201	5.00E-08	1.00E+05	500	1	1	12	ASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	13	ASTRAL	8
M201	5.00E-08	1.00E+05	500	1	1	14	ASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	15	ASTRAL	9
M201	5.00E-08	1.00E+05	500	1	1	16	ASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	17	ASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	18	ASTRAL	9
M201	5.00E-08	1.00E+05	500	1	1	19	ASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	20	ASTRAL	9
M201	5.00E-08	1.00E+05	500	1	1	21	ASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	22	ASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	23	ASTRAL	9
M201	5.00E-08	1.00E+05	500	1	1	24	ASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	25	ASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	26	ASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	27	ASTRAL	15
M201	5.00E-08	1.00E+05	500	1	1	28	ASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	29	ASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	30	ASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	31	ASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	32	ASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	33	ASTRAL	8
M201	5.00E-08	1.00E+05	500	1	1	34	ASTRAL	8
M201	5.00E-08	1.00E+05	500	1	1	35	ASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	36	ASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	37	ASTRAL	9
M201	5.00E-08	1.00E+05	500	1	1	38	ASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	39	ASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	40	ASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	41	ASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	42	ASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	43	ASTRAL	6
M201	5.00E-08	1.00E+05	500	1	1	44	ASTRAL	9
M201	5.00E-08	1.00E+05	500	1	1	45	ASTRAL	6
M201	5.00E-08	1.00E+05	500	1	1	46	ASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	47	ASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	48	ASTRAL	9
M201	5.00E-08	1.00E+05	500	1	1	49	ASTRAL	6
M201	5.00E-08	1.00E+05	500	1	1	50	ASTRAL	9
M201	5.00E-08	1.00E+05	250	1	1	1	ASTRAL	5
M201	5.00E-08	1.00E+05	250	1	1	2	ASTRAL	4
M201	5.00E-08	1.00E+05	250	1	1	3	ASTRAL	11
M201	5.00E-08	1.00E+05	250	1	1	4	ASTRAL	12
M201	5.00E-08	1.00E+05	250	1	1	5	ASTRAL	13
M201	5.00E-08	1.00E+05	250	1	1	6	ASTRAL	10
M201	5.00E-08	1.00E+05	250	1	1	7	ASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	8	ASTRAL	15
M201	5.00E-08	1.00E+05	250	1	1	9	ASTRAL	11
M201	5.00E-08	1.00E+05	250	1	1	10	ASTRAL	13
M201	5.00E-08	1.00E+05	250	1	1	11	ASTRAL	10
M201	5.00E-08	1.00E+05	250	1	1	12	ASTRAL	4
M201	5.00E-08	1.00E+05	250	1	1	13	ASTRAL	10
M201	5.00E-08	1.00E+05	250	1	1	14	ASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	15	ASTRAL	10
M201	5.00E-08	1.00E+05	250	1	1	16	ASTRAL	4
M201	5.00E-08	1.00E+05	250	1	1	17	ASTRAL	3
M201	5.00E-08	1.00E+05	250	1	1	18	ASTRAL	11
M201	5.00E-08	1.00E+05	250	1	1	19	ASTRAL	10
M201	5.00E-08	1.00E+05	250	1	1	20	ASTRAL	11
M201	5.00E-08	1.00E+05	250	1	1	21	ASTRAL	4
M201	5.00E-08	1.00E+05	250	1	1	22	ASTRAL	1
M201	5.00E-08	1.00E+05	250	1	1	23	ASTRAL	9
M201	5.00E-08	1.00E+05	250	1	1	24	ASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	25	ASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	26	ASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	27	ASTRAL	16
M201	5.00E-08	1.00E+05	250	1	1	28	ASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	29	ASTRAL	10
M201	5.00E-08	1.00E+05	250	1	1	30	ASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	31	ASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	32	ASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	33	ASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	34	ASTRAL	9
M201	5.00E-08	1.00E+05	250	1	1	35	ASTRAL	8
M201	5.00E-08	1.00E+05	250	1	1	36	ASTRAL	3
M201	5.00E-08	1.00E+05	250	1	1	37	ASTRAL	15
M201	5.00E-08	1.00E+05	250	1	1	38	ASTRAL	5
M201	5.00E-08	1.00E+05	250	1	1	39	ASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	40	ASTRAL	4
M201	5.00E-08	1.00E+05	250	1	1	41	ASTRAL	9
M201	5.00E-08	1.00E+05	250	1	1	42	ASTRAL	4
M201	5.00E-08	1.00E+05	250	1	1	43	ASTRAL	5
M201	5.00E-08	1.00E+05	250	1	1	44	ASTRAL	8
M201	5.00E-08	1.00E+05	250	1	1	45	ASTRAL	8
M201	5.00E-08	1.00E+05	250	1	1	46	ASTRAL	9
M201	5.00E-08	1.00E+05	250	1	1	47	ASTRAL	9
M201	5.00E-08	1.00E+05	250	1	1	48	ASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	49	ASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	50	ASTRAL	11
M201	5.00E-08	1.00E+05	1000	1	1	1	CASTER-site	9
M201	5.00E-08	1.00E+05	1000	1	1	2	CASTER-site	1
M201	5.00E-08	1.00E+05	1000	1	1	3	CASTER-site	8
M201	5.00E-08	1.00E+05	1000	1	1	4	CASTER-site	6
M201	5.00E-08	1.00E+05	1000	1	1	5	CASTER-site	3
M201	5.00E-08	1.00E+05	1000	1	1	6	CASTER-site	7
M201	5.00E-08	1.00E+05	1000	1	1	7	CASTER-site	1
M201	5.00E-08	1.00E+05	1000	1	1	8	CASTER-site	7
M201	5.00E-08	1.00E+05	1000	1	1	9	CASTER-site	7
M201	5.00E-08	1.00E+05	1000	1	1	10	CASTER-site	4
M201	5.00E-08	1.00E+05	1000	1	1	11	CASTER-site	5
M201	5.00E-08	1.00E+05	1000	1	1	12	CASTER-site	5
M201	5.00E-08	1.00E+05	1000	1	1	13	CASTER-site	7
M201	5.00E-08	1.00E+05	1000	1	1	14	CASTER-site	8
M201	5.00E-08	1.00E+05	1000	1	1	15	CASTER-site	7
M201	5.00E-08	1.00E+05	1000	1	1	16	CASTER-site	2
M201	5.00E-08	1.00E+05	1000	1	1	17	CASTER-site	2
M201	5.00E-08	1.00E+05	1000	1	1	18	CASTER-site	7
M201	5.00E-08	1.00E+05	1000	1	1	19	CASTER-site	5
M201	5.00E-08	1.00E+05	1000	1	1	20	CASTER-site	4
M201	5.00E-08	1.00E+05	1000	1	1	21	CASTER-site	4
M201	5.00E-08	1.00E+05	1000	1	1	22	CASTER-site	1
M201	5.00E-08	1.00E+05	1000	1	1	23	CASTER-site	8
M201	5.00E-08	1.00E+05	1000	1	1	24	CASTER-site	3
M201	5.00E-08	1.00E+05	1000	1	1	25	CASTER-site	5
M201	5.00E-08	1.00E+05	1000	1	1	26	CASTER-site	4
M201	5.00E-08	1.00E+05	1000	1	1	27	CASTER-site	5
M201	5.00E-08	1.00E+05	1000	1	1	28	CASTER-site	4
M201	5.00E-08	1.00E+05	1000	1	1	29	CASTER-site	5
M201	5.00E-08	1.00E+05	1000	1	1	30	CASTER-site	2
M201	5.00E-08	1.00E+05	1000	1	1	31	CASTER-site	5
M201	5.00E-08	1.00E+05	1000	1	1	32	CASTER-site	0
M201	5.00E-08	1.00E+05	1000	1	1	33	CASTER-site	8
M201	5.00E-08	1.00E+05	1000	1	1	34	CASTER-site	3
M201	5.00E-08	1.00E+05	1000	1	1	35	CASTER-site	3
M201	5.00E-08	1.00E+05	1000	1	1	36	CASTER-site	3
M201	5.00E-08	1.00E+05	1000	1	1	37	CASTER-site	4
M201	5.00E-08	1.00E+05	1000	1	1	38	CASTER-site	2
M201	5.00E-08	1.00E+05	1000	1	1	39	CASTER-site	4
M201	5.00E-08	1.00E+05	1000	1	1	40	CASTER-site	7
M201	5.00E-08	1.00E+05	1000	1	1	41	CASTER-site	5
M201	5.00E-08	1.00E+05	1000	1	1	42	CASTER-site	3
M201	5.00E-08	1.00E+05	1000	1	1	43	CASTER-site	7
M201	5.00E-08	1.00E+05	1000	1	1	44	CASTER-site	6
M201	5.00E-08	1.00E+05	1000	1	1	45	CASTER-site	6
M201	5.00E-08	1.00E+05	1000	1	1	46	CASTER-site	2
M201	5.00E-08	1.00E+05	1000	1	1	47	CASTER-site	6
M201	5.00E-08	1.00E+05	1000	1	1	48	CASTER-site	5
M201	5.00E-08	1.00E+05	1000	1	1	49	CASTER-site	3
M201	5.00E-08	1.00E+05	1000	1	1	50	CASTER-site	10
M201	5.00E-08	1.00E+05	500	1	1	1	CASTER-site	10
M201	5.00E-08	1.00E+05	500	1	1	2	CASTER-site	3
M201	5.00E-08	1.00E+05	500	1	1	3	CASTER-site	11
M201	5.00E-08	1.00E+05	500	1	1	4	CASTER-site	10
M201	5.00E-08	1.00E+05	500	1	1	5	CASTER-site	9
M201	5.00E-08	1.00E+05	500	1	1	6	CASTER-site	8
